﻿110;High
﻿575;Low
﻿277;No
﻿508;High
﻿593;High
﻿42;High
﻿52;High
﻿31;High
﻿691;Medium
﻿301;No
﻿279;Medium
﻿636;No
﻿142;High
﻿307;No
﻿463;No
﻿150;No
﻿633;No
﻿184;No
﻿295;No
﻿580;Low
﻿228;No
﻿624;Low
﻿59;High
﻿247;No
﻿481;Medium
﻿459;Medium
﻿100;High
﻿592;High
﻿47;Medium
﻿72;High
﻿622;No
﻿166;No
﻿35;High
﻿33;Medium
﻿625;No
﻿48;High
﻿681;Medium
﻿206;No
﻿244;High
﻿204;No
﻿50;Medium
﻿475;Low
﻿383;No
﻿55;Medium
﻿637;Low
﻿646;Low
﻿299;No
﻿226;No
﻿323;Medium
﻿664;High
﻿248;Medium
﻿291;No
﻿24;High
﻿224;High
﻿3;Medium
﻿551;No
﻿146;Low
﻿1;High
﻿34;Medium
﻿20;Low
﻿561;No
﻿21;High
﻿261;No
﻿614;No
﻿49;Medium
﻿37;High
﻿468;No
﻿490;No
﻿129;No
﻿319;Medium
﻿640;Low
﻿388;No
﻿588;High
﻿203;No
﻿549;Medium
﻿504;Medium
﻿469;No
﻿613;No
﻿168;No
﻿285;Medium
﻿642;No
﻿309;No
﻿40;High
﻿39;High
﻿466;No
﻿116;High
﻿306;No
﻿273;Medium
﻿273;Medium
﻿160;No
﻿470;No
﻿698;Medium
﻿137;Medium
﻿692;Medium
﻿597;No
﻿51;High
﻿297;No
﻿29;High
﻿482;No
﻿134;No
﻿159;High
﻿256;No
﻿587;No
﻿176;No
﻿472;No
﻿64;High
﻿668;Low
﻿161;No
﻿220;No
﻿250;High
﻿694;High
﻿509;No
﻿79;High
﻿59;High
﻿287;No
﻿192;Low
﻿278;No
﻿20;Low
﻿112;No
﻿503;No
﻿606;No
﻿128;No
﻿498;No
﻿676;High
﻿619;No
﻿386;No
﻿54;High
﻿13;High
﻿216;No
﻿485;Low
﻿251;No
﻿275;High
﻿328;Medium
﻿698;Medium
﻿644;Medium
﻿267;High
﻿19;High
﻿144;No
﻿17;High
﻿163;High
﻿296;No
﻿276;No
﻿93;High
﻿554;Medium
﻿647;Medium
﻿89;High
﻿155;Medium
﻿44;High
﻿149;No
﻿476;Low
﻿267;High
﻿442;Medium
﻿46;High
﻿497;High
﻿120;Low
﻿664;High
﻿103;Medium
﻿401;Low
﻿153;No
﻿13;High
﻿127;High
﻿67;High
﻿6;High
﻿3;Medium
﻿533;Low
﻿193;High
﻿695;Medium
﻿620;No
﻿233;No
﻿574;Low
﻿492;No
﻿182;High
﻿634;Low
﻿293;No
﻿540;Low
﻿474;Medium
﻿60;High
﻿565;High
﻿39;High
﻿14;Medium
﻿65;Low
﻿208;No
﻿158;No
﻿100;High
﻿189;No
﻿243;No
﻿48;High
﻿609;No
﻿562;No
﻿237;Low
﻿665;Low
﻿578;Medium
﻿25;Low
﻿122;High
﻿645;Low
﻿576;Low
﻿147;Low
﻿469;No
﻿384;No
﻿69;High
﻿196;Medium
﻿73;High
﻿169;High
﻿85;High
﻿81;Medium
﻿194;No
﻿441;Medium
﻿193;High
﻿209;No
﻿462;No
﻿226;No
﻿271;Low
﻿212;Medium
﻿105;Medium
﻿9;High
﻿143;No
﻿274;No
﻿63;High
﻿448;Medium
﻿641;Low
﻿463;No
﻿270;Medium
﻿616;Medium
﻿21;High
﻿123;High
﻿478;Low
﻿464;No
﻿154;Medium
﻿141;High
﻿104;Medium
﻿199;High
﻿383;No
﻿648;Medium
﻿552;Medium
﻿657;High
﻿594;No
﻿326;Medium
﻿37;High
﻿125;High
﻿252;No
﻿459;Medium
﻿322;Medium
﻿32;High
﻿564;No
﻿229;High
﻿502;No
﻿105;Medium
﻿460;No
﻿57;Medium
﻿471;No
﻿665;Low
﻿129;No
﻿651;No
﻿175;Medium
﻿654;Medium
﻿501;No
﻿546;Low
﻿58;High
﻿52;High
﻿242;High
﻿492;No
﻿402;No
﻿16;Medium
﻿66;High
﻿111;High
﻿181;No
﻿387;No
﻿38;High
﻿317;Medium
﻿178;Medium
﻿58;High
﻿4;Medium
﻿174;High
﻿71;Medium
﻿62;High
﻿185;No
﻿308;No
﻿23;High
﻿231;Medium
﻿263;No
﻿35;High
﻿217;Low
﻿696;Low
﻿541;No
﻿151;Medium
﻿467;No
﻿190;No
﻿650;No
﻿132;Low
﻿480;Low
﻿36;Medium
﻿135;High
﻿107;Medium
﻿506;Low
﻿384;No
﻿81;Medium
﻿496;No
﻿591;High
﻿488;No
﻿290;No
﻿74;Medium
﻿115;No
﻿29;High
﻿18;High
﻿173;High
﻿479;Low
﻿230;Medium
﻿104;Medium
﻿68;Low
﻿693;Medium
﻿17;High
﻿331;Medium
﻿639;No
﻿27;Medium
﻿623;No
﻿197;High
﻿667;Medium
﻿558;Low
﻿138;No
﻿389;No
﻿92;High
﻿491;No
﻿122;High
﻿15;High
﻿135;High
﻿538;Low
﻿50;Medium
﻿140;No
﻿493;No
﻿75;High
﻿313;High
﻿102;High
﻿510;High
﻿187;High
﻿653;High
﻿53;High
﻿612;No
﻿5;Medium
﻿595;No
﻿222;Medium
﻿324;Medium
﻿304;No
﻿86;High
﻿204;No
﻿332;Medium
﻿618;No
﻿162;No
﻿126;High
﻿528;Low
﻿219;High
﻿141;High
﻿302;No
﻿98;High
﻿142;High
﻿699;Medium
﻿84;High
﻿660;Medium
﻿15;High
﻿209;No
﻿71;Medium
﻿600;High
﻿589;No
﻿318;Medium
﻿62;High
﻿202;No
﻿136;High
﻿183;No
﻿108;Low
﻿292;No
﻿78;High
﻿107;Medium
﻿83;High
﻿177;No
﻿462;No
﻿676;High
﻿164;High
﻿92;High
﻿489;No
﻿461;No
﻿240;High
﻿227;No
﻿234;No
﻿87;High
﻿573;Low
﻿460;No
﻿701;Medium
﻿10;High
﻿218;No
﻿661;Medium
﻿198;No
﻿465;No
﻿310;No
﻿77;High
﻿22;High
﻿49;Medium
﻿596;No
﻿43;Medium
﻿90;High
﻿186;No
﻿117;Low
﻿147;Low
﻿45;High
﻿556;No
﻿221;No
﻿577;Low
﻿680;Medium
﻿230;Medium
﻿139;High
﻿170;High
﻿120;Low
﻿468;No
﻿41;High
﻿320;Medium
﻿133;No
﻿250;High
﻿563;No
﻿146;Low
﻿157;No
﻿80;High
﻿108;Low
﻿130;Medium
﻿76;High
﻿95;High
﻿477;Low
﻿145;No
﻿590;Low
﻿127;High
﻿327;Medium
﻿16;Medium
﻿494;No
﻿66;High
﻿136;High
﻿26;High
﻿439;No
﻿94;High
﻿55;Medium
﻿268;No
﻿61;Medium
﻿298;No
﻿47;Medium
﻿215;High
﻿253;No
﻿662;High
﻿201;High
﻿560;High
﻿30;Low
﻿305;No
﻿644;Medium
﻿300;No
﻿294;No
﻿536;Low
﻿97;Low
﻿7;High
﻿2;High
﻿500;No
﻿180;High
﻿330;Medium
﻿663;Low
﻿8;High
﻿28;High
﻿615;No
﻿495;No
﻿608;No
﻿679;Medium
﻿329;Medium
﻿191;No
﻿26;High
﻿70;Medium
﻿312;Medium
﻿555;No
﻿101;High
﻿486;No
﻿121;Low
﻿487;No
﻿621;No
﻿321;Medium
﻿385;No
﻿586;Medium
﻿550;No
﻿109;Low
﻿461;No
﻿579;No
﻿697;Low
﻿77;High
﻿207;Medium
﻿12;High
﻿303;No
﻿148;Medium
﻿131;Medium
﻿325;Medium
﻿88;High
﻿652;Medium
﻿68;Low
﻿643;Medium
﻿114;No
﻿473;No
﻿27;Medium
﻿666;Medium
﻿197;High
